stars	language	updated	issues	size	forks	watchers	repo	created	description
4	Ruby	2022-12-14	10	7401	3	4	https://github.com/harvard-library/ClassRequestTool	2014-04-10	An application for scheduling class visits to archives and special collections.
4	Java	2016-06-15	2	232	2	4	https://github.com/IQSS/UNF	2014-08-17	Universal Numerical Fingerprint
4	C	2015-08-14	1	543	1	4	https://github.com/berkmancenter/amber_nginx	2014-02-11	Amber module for Nginx
4	TypeScript	2017-12-04	0	325	3	4	https://github.com/cid-harvard/product-space	2017-11-28	Customizable and interactive product space
4	Ruby	2022-12-14	9	1715	0	4	https://github.com/harvard-library/inscriptio	2013-11-18	An app to help manage the reservation of carrels and other reservable library resources
4	C	2015-11-17	2	52	1	4	https://github.com/berkmancenter/amber_apache	2014-02-11	Amber module for Apache
3	Stata	2018-12-27	3	6608	4	3	https://github.com/OpenSDP/college-going-stata	2017-05-18	OpenSDP College-Going Pathways (Stata) 
3	C	2022-10-21	20	953	0	3	https://github.com/nthallen/icosfit	2019-08-13	ICOSfit Absorption Spectra Fitting Software
3	Java	2018-06-08	12	104367	1	3	https://github.com/kurator-org/kurator-web	2016-01-22	
3	Java	2022-08-30	1	1258	0	3	https://github.com/FilteredPush/event_date_qc	2016-10-05	DataQuality library for dwc:eventDate and other dwc:Event terms.
3	JavaScript	2016-10-31	1	2646	5	3	https://github.com/berkmancenter/fair_use_tool	2010-07-14	Creative Rights fair use tool for determining copyright usage.
3	JavaScript	2021-06-10	1	13350	3	3	https://github.com/cid-harvard/aid-explorer	2014-04-18	Aid data explorer which can be seen at: http://www.atlas.cid.harvard.edu/aidxp
3	Python	2022-12-09	0	42	4	3	https://github.com/harvard-lil/lil-nudgebot	2016-06-17	
3	PHP	2017-07-26	0	97	5	3	https://github.com/berkmancenter/category_subscriptions	2011-04-05	A wordpress plugin that allows for per-user category subscriptions.
3	Python	2022-06-01	0	6542	2	3	https://github.com/Colin-Fredericks/hx-py	2016-09-29	Collection of python used in HarvardX problems
3		2017-09-20	0	10	2	3	https://github.com/OpenSDP/nearly-unique-stata	2017-05-18	OpenSDP data cleaning tutorial in Stata on applying decision rules
3	XSLT	2016-01-14	1	75	1	3	https://github.com/harvard-library/schematronium	2015-07-28	A library for running schematrons over XML files
3	Python	2018-12-13	1	434	10	3	https://github.com/cid-harvard/atlas-subnational-api	2014-12-03	Subnational atlas API backend
3	Jupyter Notebook	2022-08-04	0	189	0	3	https://github.com/cbdb-project/accessAndMySQLTransfer	2017-09-25	convert Access MDB file to MySQL, and convert MySQL dump to MDB
3	Ruby	2021-09-01	0	1004	3	3	https://github.com/berkmancenter/brkmn	2012-03-20	The dirt-simple URL shortener at brk.mn
3	Python	2017-11-15	2	15	0	3	https://github.com/harvard-dce/django-canvas-api-token	2014-12-17	A reusable django app for generating Canvas API user oauth tokens
3	C	2017-03-16	0	52824	1	3	https://github.com/berkmancenter/curarium	2014-05-06	The Curarium is a collection of collections. It is a platform which leverages the power of the crowd in order to annotate, curate, and augment works within and beyond their respective collections, with the aim of constructing sharable, media-rich stories and elaborate arguments about individual items as well as groups of items in our corpora.
3	Python	2022-12-08	4	39	1	3	https://github.com/harvard-dce/panopto-cli	2019-04-26	Command-line tool for interacting with the Panopto SOAP API
2	Ruby	2022-12-14	7	530	1	2	https://github.com/harvard-dce/hola_mundo	2014-11-21	An LTI app allowing students in a course to introduce themselves via webcam-captured youtube videos
2		2017-05-18	0	9	2	2	https://github.com/OpenSDP/faketucky	2017-05-18	OpenSDP Faketucky College-Going Dataset (Stata and R)
2	JavaScript	2018-04-03	0	432	1	2	https://github.com/OpenSDP/template-stata	2017-05-19	OpenSDP Analysis Template (Stata)
2	TypeScript	2022-09-30	0	3352	1	2	https://github.com/harvard-edtech/caccl-lti	2018-08-07	Validates and parses LTI launch requests.
2	Python	2017-08-05	2	114	1	2	https://github.com/HarvardOpenData/propublica-data	2017-05-31	Python script that uses the Propublica API to retrieve data (in csv format) on any list of organizations.
2	Ruby	2014-09-02	0	711	3	2	https://github.com/berkmancenter/hei	2012-06-25	A tag heavy development project registry.
2	Ruby	2023-01-03	2	653	3	2	https://github.com/harvard-lts/spotlight-oaipmh-resources	2017-05-30	An OAI-PMH harvester plugin for Spotlight
2	Ruby	2022-09-27	1	1578	4	2	https://github.com/harvard-library/archivesspace-checker	2015-08-11	A small website for checking EADs against local standards via schematron
2	Shell	2018-05-14	0	380	5	2	https://github.com/cid-harvard/subnational-playbooks	2014-12-18	Playbooks for the colombia, mexico, peru atlas
2	Java	2022-11-24	2	17114	3	2	https://github.com/MCZbase/DataShot_DesktopApp	2016-11-24	Desktop application client intended to support an object-precapture-image-data workflow for capture of natural science collections data.  See the wiki (https://github.com/MCZbase/DataShot_DesktopApp/wiki) for user documentation, or the README below for developer documentation.
2	ColdFusion	2023-01-03	0	76490	1	2	https://github.com/MCZbase/MCZbase	2015-08-21	Arctos branch in use by the Museum of Comparative Zoology, Harvard University  https://doi.org/10.5281/zenodo.891420
2	Ruby	2016-11-16	0	82	0	2	https://github.com/berkmancenter/classifurlr	2016-05-11	Given request & response data, attempts to determine likelihood that page is available vs. down or blocked.
2	Python	2022-09-23	6	1027	6	2	https://github.com/harvard-lil/perma-payments	2017-06-07	
1	HTML	2020-01-16	0	130134	1	1	https://github.com/HarvardX/studio-advanced	2019-11-05	The training course for advanced users of edX Studio
1	Python	2022-10-24	0	849	2	1	https://github.com/Colin-Fredericks/hx-xml	2018-05-04	XML utilities from HarvardX, for use in edX courses
1	Ruby	2022-11-06	0	18	4	1	https://github.com/harvard-library/aspace-utils	2016-08-19	Bulk ingest script for ArchivesSpace, analysis script that processes logs from afforementioned.
1	Ruby	2022-09-14	0	594	3	1	https://github.com/harvard-library/archivesspace-preprocessor	2015-12-11	Preprocessor for EAD files to prepare them for ingest into Archivesspace
1	Ruby	2019-09-16	0	185	3	1	https://github.com/berkmancenter/feed-abstract	2011-08-19	RSS Feed abstraction library using ruby standard lib classes.
1	TypeScript	2022-10-11	14	10278	2	1	https://github.com/harvard-edtech/caccl-api	2018-09-25	A class that defines a set of smart Canvas endpoints that actually behave how you'd expect them to. 
1	PHP	2022-07-01	0	45	2	1	https://github.com/berkmancenter/wiki-uturn	2012-09-20	Wiki Reversion Tool
1	PHP	2013-07-23	0	226	1	1	https://github.com/berkmancenter/blog_network_stats	2013-03-04	A wordpress plugin to aggregate data about blogs into a single table.
1	Python	2017-07-16	0	12278	0	1	https://github.com/cbdb-project/crop_books_by_lines	2017-03-06	crop books by lines or blanks
1		2016-04-15	0	183	1	1	https://github.com/onnela-lab/HX_python_for_research	2016-04-13	
1	PLSQL	2022-11-21	0	541	0	1	https://github.com/MCZbase/DDL	2018-08-14	Build Scripts for all Database Objects in MCZbase
1	Java	2022-07-06	0	10765	1	1	https://github.com/MCZbase/PreCapture	2016-09-16	PreCapture application used for creating human and machine readable labels for natural science collections storage containers to support object to image to data workflows.  Used by the MCZ and the NEVP TCN.
0	C++	2017-07-03	0	347	0	0	https://github.com/cbdb-project/reg-cpp	2017-07-03	regular expression replacer
0	Ruby	2018-12-07	2	460	0	0	https://github.com/harvard-library/lts-lti-reserves	2015-06-11	The Reserves Tool as seen/used via Canvas
0	Ruby	2022-02-16	1	5270	0	0	https://github.com/harvard-library/list_view	2014-10-08	A tool for displaying ordered lists of links.
0	Ruby	2016-07-28	0	543	0	0	https://github.com/harvard-library/linkomatic	2015-01-12	Automatically adds NRS links to digitized records in EAD
