stars	language	updated	issues	size	forks	watchers	repo	created	description
196	Java	2017-07-31	692	53468	105	196	https://github.com/IQSS/dataverse	2013-11-01	A data repository framework to share and publish research data.
185	PHP	2017-07-31	296	186638	95	185	https://github.com/openscholar/openscholar	2011-03-04	OpenScholar project 
116	JavaScript	2016-02-05	6	3601	16	116	https://github.com/HBRGTech/daisy	2014-11-16	daisy is a vagrant and grunt-powered Pattern Lab, derivative work from hbr.org's 2014 redesign.
94	JavaScript	2017-07-19	155	41680	31	94	https://github.com/harvard-lil/perma	2013-05-06	Indelible links
82	C	2017-06-01	1	135	2	82	https://github.com/HarvardPL/shill	2014-10-04	Scripting with Least Privilege
78	Ruby	2016-11-12	7	180	11	78	https://github.com/berkmancenter/namae	2012-05-21	Namae (名前) parses personal names and splits them into their component parts.
78	JavaScript	2017-06-16	73	182121	23	78	https://github.com/cga-harvard/cga-worldmap	2010-11-01	Harvard WorldMap is a heavily modified fork of GeoNode 1.x, soon to be migrated to GeoNode 2.x.  WorldMap is being made available by Harvard's Center for Geographic Analysis to lower the barrier for scholars and others who wish to explore, visualize, edit, collaborate with, and publish geospatial information.
75	JavaScript	2017-07-31	294	74956	10	75	https://github.com/refinery-platform/refinery-platform	2011-11-23	The Refinery Platform is a data management, analysis and visualization system for bioinformatics and computational biology applications. The platforms consists of three major components: a data repository with rich metadata capabilities, a workflow engine based on the popular Galaxy system, and visualization tools to support the exploration and interpretation of results at all stages of the analysis process.
62	Perl	2017-07-27	54	247679	23	62	https://github.com/berkmancenter/mediacloud	2013-06-26	Media Cloud is an open source, open data platform that allows researchers to answer quantitative questions about the content of online media.
52	R	2017-07-29	24	109429	28	52	https://github.com/IQSS/Zelig	2013-12-05	A statistical framework that serves as a common interface to a large range of models
44	Ruby	2017-07-06	0	6107	16	44	https://github.com/berkmancenter/tagteam	2011-07-12	Enhanced Social Tagging for Academic Communities
38	Java	2017-07-06	30	499854	36	38	https://github.com/harvard-lts/fits	2013-03-02	File Information Tool Set
37	Ruby	2017-07-31	1	17211	33	37	https://github.com/berkmancenter/lumendatabase	2012-04-16	The Lumen Database collects and analyzes legal complaints and requests for removal of online materials.
25	JavaScript	2017-07-10	66	2800	16	25	https://github.com/cga-harvard/HHypermap	2015-12-17	HHypermap (Harvard Hypermap) Registry is an application that manages OWS, Esri REST, and other types of map service harvesting, and maintains uptime statistics for services and layers. HHypermap Registry will publish to HHypermap Search (based on Lucene) which provides a fast search and visualization environment for spatio-temporal materials.
23	JavaScript	2017-06-30	32	20092	11	23	https://github.com/IQSS/TwoRavens	2013-07-02	A web application for data exploration, statistical analysis, model construction and meta analysis tools, that integrates with Zelig and Dataverse. 
21	PHP	2016-10-04	5	3001	7	21	https://github.com/berkmancenter/amber_wordpress	2014-02-11	Amber plugin for Wordpress
19	Python	2015-08-05	1	628	8	19	https://github.com/IQSS/redmine2github	2014-07-01	Scripts to migrate redmine tickets to github issues
18	JavaScript	2017-07-17	17	1794	11	18	https://github.com/berkmancenter/dotplot	2015-02-19	Telling a story through dots
16	Shell	2017-07-24	2	89516	5	16	https://github.com/fasrc/helmod	2013-12-16	Harvard Extensions for Lmod deployment
13	Ruby	2017-07-31	71	3894	19	13	https://github.com/berkmancenter/bookanook	2015-07-01	
11	Python	2017-05-23	5	80	14	11	https://github.com/Harvard-University-iCommons/django-auth-lti	2013-11-22	
9	Python	2017-03-27	4	2222	3	9	https://github.com/penzance/canvas_python_sdk	2014-06-18	Canvas Python SDK
9	HTML	2017-05-26	0	16522	4	9	https://github.com/cga-harvard/hhypermap-bop	2016-05-31	HHypermap BOP -- Harvard Hypermap, Billion Object Platform (using Apache Solr)
9	JavaScript	2017-05-17	1	8373	15	9	https://github.com/berkmancenter/question_tool	2015-06-15	A web application to propose and vote on questions on a particular subject.
9		2017-01-06	2	532	2	9	https://github.com/berkmancenter/amber_drupal	2014-02-11	Amber module for Drupal
9	JavaScript	2017-07-31	4	26582	9	9	https://github.com/cid-harvard/atlas-subnational-frontend	2015-04-21	
7	Java	2017-06-30	1	71949	1	7	https://github.com/harvard-library/librarycloud	2014-04-07	Harvard University Library Cloud API
