stars	language	updated	issues	size	forks	watchers	repo	created	description
2510	C++	2026-06-24	640	137875	748	2510	https://github.com/Slicer/Slicer	2020-03-12	Multi-platform, free open source software for visualization and image computing.
2144	C	2026-01-22	40	309	895	2144	https://github.com/cs50/libcs50	2012-07-15	This is CS50's Library for C.
1060	Java	2026-06-24	985	257732	550	1060	https://github.com/IQSS/dataverse	2013-11-01	Open source research data repository software
841	Python	2026-01-22	3	361	296	841	https://github.com/cs50/python-cs50	2016-10-03	This is CS50's library for Python.
836	HTML	2026-05-20	150	31443	164	836	https://github.com/hms-dbmi/UpSetR	2015-05-26	An R implementation of the UpSet set visualization technique published by Lex, Gehlenborg, et al..  
783	Python	2026-06-09	472	52089	160	783	https://github.com/glue-viz/glue	2011-05-18	Linked Data Visualizations Across Multiple Files
660	CSS	2026-06-18	17	475833	207	660	https://github.com/hbctraining/Intro-to-scRNAseq	2020-07-07	
522	Python	2026-01-22	7	368	1045	522	https://github.com/cs50/submit50	2016-09-17	This is submit50, CS50's command-line tool for submitting problems.
513	JavaScript	2026-06-24	95	75454	90	513	https://github.com/harvard-lil/perma	2013-05-06	Websites change. Perma Links don't. 
457	Python	2026-02-25	21	10299	302	457	https://github.com/cs50/check50	2017-02-25	This is check50, a command-line program with which you can check the correctness of your programs.
355	Jupyter Notebook	2026-05-20	21	845035	154	355	https://github.com/hbctraining/Training-modules	2016-12-21	Materials for short, half-day workshops
351	JavaScript	2026-06-16	71	15912	60	351	https://github.com/hms-dbmi/viv	2020-01-24	Library for multiscale visualization of high-resolution multiplexed bioimaging data on the web. Directly renders Zarr and OME-TIFF.
289	Python	2026-04-07	10	13186	98	289	https://github.com/jeffgortmaker/pyblp	2018-04-22	BLP Demand Estimation with Python
288	Python	2023-11-20	156	263776	91	288	https://github.com/mediacloud/backend	2013-06-26	Media Cloud is an open source, open data platform that allows researchers to answer quantitative questions about the content of online media.
281	HTML	2023-09-28	2	19713	22	281	https://github.com/berkmancenter/internet_monitor	2013-08-05	The Internet Monitor is a research project to evaluate, describe, and summarize the means, mechanisms, and extent of Internet content controls and Internet activity around the world.
231	Python	2026-01-04	19	3990	64	231	https://github.com/cs50/compare50	2017-06-21	This is compare50, a fast and extensible plagiarism-detection tool.
218	HTML	2026-05-28	3	176824	84	218	https://github.com/hbctraining/Intro-to-DGE	2020-05-11	
203	Java	2022-02-08	14	66056	51	203	https://github.com/harvardinformatics/JAuth	2011-09-23	Java GUI client to generate Google authentication codes
180	R	2024-02-29	43	14652	66	180	https://github.com/hms-dbmi/scde	2015-05-06	R package for analyzing single-cell RNA-seq data
170	Ruby	2024-04-22	21	258	30	170	https://github.com/berkmancenter/namae	2012-05-21	Namae (名前) parses personal names and splits them into their component parts.
165	Ruby	2026-06-17	8	21245	113	165	https://github.com/berkmancenter/lumendatabase	2012-04-16	The Lumen Database collects and analyzes legal complaints and requests for removal of online materials.
146	HTML	2026-03-16	8	166632	48	146	https://github.com/hbctraining/Intro-to-bulk-RNAseq	2020-10-26	Introduction to bulk RNA-seq
145	Python	2019-01-07	0	1829	42	145	https://github.com/harvardinformatics/ATAC-seq	2017-10-06	
112	JavaScript	2016-02-05	4	3601	9	112	https://github.com/HBRGTech/daisy	2014-11-16	daisy is a vagrant and grunt-powered Pattern Lab, derivative work from hbr.org's 2014 redesign.
112	R	2023-12-07	47	115090	44	112	https://github.com/IQSS/Zelig	2013-12-05	A statistical framework that serves as a common interface to a large range of models
